draw_no,date,main1,main2,main3,main4,main5,bonus
1,1999/04/13,1,3,17,20,25,26
2,1999/04/27,2,11,12,21,30,28
3,1999/05/11,1,8,10,24,30,28
4,1999/05/25,11,12,14,20,31,29
5,1999/06/08,8,9,15,21,25,23
6,1999/06/22,2,11,16,24,29,4
7,1999/07/06,3,24,25,26,31,2
8,1999/07/20,22,24,25,28,30,21
9,1999/08/03,2,11,12,13,28,15
10,1999/08/17,8,19,21,23,30,5
11,1999/08/31,17,18,19,20,30,31
12,1999/09/14,5,9,13,16,19,21
13,1999/09/28,6,11,18,25,28,20
14,1999/10/05,2,21,24,26,29,28
15,1999/10/12,6,8,17,23,24,22
16,1999/10/19,2,20,24,26,27,23
17,1999/10/26,10,18,20,25,27,1
18,1999/11/02,1,14,16,23,25,27
19,1999/11/09,2,9,10,22,27,1
20,1999/11/16,14,20,22,25,30,15
21,1999/11/23,3,15,22,25,31,6
22,1999/11/30,4,6,26,28,30,14
23,1999/12/07,2,13,18,22,26,15
24,1999/12/14,12,14,19,26,28,15
25,1999/12/21,2,3,7,18,29,15
26,1999/12/28,7,8,9,14,15,4
27,2000/01/04,10,16,20,21,31,14
28,2000/01/11,2,9,15,22,29,11
29,2000/01/18,9,12,17,26,31,15
30,2000/01/25,10,15,17,18,30,16
31,2000/02/01,14,20,21,24,28,17
32,2000/02/08,2,11,13,16,24,20
33,2000/02/15,2,3,8,9,30,23
34,2000/02/22,4,9,18,28,29,12
35,2000/02/29,10,11,18,24,26,29
36,2000/03/07,4,8,15,16,21,25
37,2000/03/14,6,7,10,16,31,20
38,2000/03/21,11,16,17,19,31,4
39,2000/03/28,1,9,15,26,30,11
40,2000/04/04,4,16,24,25,27,5
41,2000/04/11,10,16,19,22,26,29
42,2000/04/18,2,5,19,24,31,28
43,2000/04/25,3,6,11,16,30,5
44,2000/05/02,5,18,20,25,27,11
45,2000/05/09,7,13,19,24,26,11
46,2000/05/16,2,10,22,23,26,6
47,2000/05/23,2,6,8,17,29,10
48,2000/05/30,2,9,11,13,31,18
49,2000/06/06,10,13,14,23,25,12
50,2000/06/13,4,5,6,8,10,26
51,2000/06/20,5,7,15,16,31,2
52,2000/06/27,4,10,12,26,31,20
53,2000/07/04,4,13,14,15,17,30
54,2000/07/11,4,5,15,18,21,16
55,2000/07/18,4,10,11,18,31,3
56,2000/07/25,1,3,7,10,27,16
57,2000/08/01,3,21,23,27,29,13
58,2000/08/08,1,2,4,10,24,20
59,2000/08/15,9,15,20,21,22,10
60,2000/08/22,16,17,22,23,26,30
61,2000/08/29,9,23,24,29,30,5
62,2000/09/05,5,10,13,17,29,6
63,2000/09/12,3,5,6,22,28,1
64,2000/09/19,5,10,11,12,23,15
65,2000/09/26,8,9,10,17,23,15
66,2000/10/03,5,6,12,17,20,1
67,2000/10/10,4,5,8,14,27,6
68,2000/10/17,5,6,21,22,24,11
69,2000/10/24,5,6,9,23,30,2
70,2000/10/31,1,5,7,17,21,15
71,2000/11/07,11,17,18,22,30,2
72,2000/11/14,8,10,24,28,30,12
73,2000/11/21,4,6,8,26,30,7
74,2000/11/28,4,6,16,22,28,9
75,2000/12/05,7,14,16,17,29,1
76,2000/12/12,6,11,13,16,23,3
77,2000/12/19,2,3,10,22,26,23
78,2000/12/26,4,11,19,20,22,28
79,2001/01/09,2,13,16,26,30,11
80,2001/01/16,7,10,13,18,22,4
81,2001/01/23,1,7,10,16,25,18
82,2001/01/30,1,3,11,27,30,8
83,2001/02/06,1,6,11,23,26,3
84,2001/02/13,1,15,29,30,31,16
85,2001/02/20,9,11,14,20,29,2
86,2001/02/27,2,8,13,20,24,9
87,2001/03/06,1,5,12,23,27,14
88,2001/03/13,4,19,26,27,30,3
89,2001/03/20,5,7,24,27,29,14
90,2001/03/27,6,12,14,21,27,15
91,2001/04/03,8,9,15,18,22,3
92,2001/04/10,2,3,11,22,30,31
93,2001/04/17,11,15,22,26,27,8
94,2001/04/24,16,19,20,26,29,27
95,2001/05/01,4,5,7,8,31,26
96,2001/05/08,1,5,6,14,27,17
97,2001/05/15,6,12,15,19,22,3
98,2001/05/22,1,2,9,11,20,4
99,2001/05/29,3,7,10,13,15,26
100,2001/06/05,11,12,19,20,31,3
101,2001/06/12,2,10,11,13,26,22
102,2001/06/19,5,10,11,25,28,23
103,2001/06/26,10,13,19,21,30,14
104,2001/07/03,3,4,7,21,30,31
105,2001/07/10,6,11,14,21,27,20
106,2001/07/17,3,5,11,12,18,2
107,2001/07/24,4,8,12,26,27,18
108,2001/07/31,6,10,20,27,29,19
109,2001/08/07,3,5,15,19,22,25
110,2001/08/14,3,7,13,22,27,2
111,2001/08/21,10,19,24,27,31,6
112,2001/08/28,5,7,15,26,27,1
113,2001/09/04,1,2,6,16,28,4
114,2001/09/11,3,5,6,7,11,8
115,2001/09/18,10,15,29,30,31,16
116,2001/09/25,2,7,13,18,23,11
117,2001/10/02,5,11,12,23,24,3
118,2001/10/09,2,4,12,20,23,14
119,2001/10/16,12,14,25,29,30,5
120,2001/10/23,8,12,14,18,27,24
121,2001/10/30,5,17,18,24,30,20
122,2001/11/06,1,8,23,27,28,9
123,2001/11/13,1,5,6,13,15,21
124,2001/11/20,5,7,17,19,27,9
125,2001/11/27,2,21,22,27,29,24
126,2001/12/04,7,16,18,22,25,21
127,2001/12/11,8,9,18,29,31,24
128,2001/12/18,3,6,22,24,27,26
129,2001/12/25,2,13,20,25,30,12
130,2002/01/08,3,4,11,17,26,5
131,2002/01/15,1,9,12,18,21,15
132,2002/01/22,7,13,17,19,24,18
133,2002/01/29,4,7,11,18,31,27
134,2002/02/05,4,5,13,16,18,20
135,2002/02/12,4,7,8,9,24,20
136,2002/02/19,5,11,14,18,28,8
137,2002/02/26,3,15,20,25,28,30
138,2002/03/05,1,4,21,30,31,16
139,2002/03/12,14,17,20,26,28,23
140,2002/03/19,8,9,17,20,29,6
141,2002/03/26,4,6,9,20,24,16
142,2002/04/02,10,11,24,25,30,8
143,2002/04/09,17,18,20,23,26,6
144,2002/04/16,4,13,14,19,28,5
145,2002/04/23,13,14,19,24,28,3
146,2002/04/30,1,6,11,12,18,8
147,2002/05/07,5,10,21,27,28,2
148,2002/05/14,2,7,19,26,31,24
149,2002/05/21,5,6,17,27,28,20
150,2002/05/28,2,11,16,24,26,4
151,2002/06/04,4,10,13,14,19,12
152,2002/06/11,1,2,11,22,30,27
153,2002/06/18,2,3,8,23,29,6
154,2002/06/25,2,10,16,19,22,17
155,2002/07/02,9,10,16,21,23,4
156,2002/07/09,2,3,13,19,31,15
157,2002/07/16,1,5,14,18,20,6
158,2002/07/23,3,14,16,20,31,25
159,2002/07/30,7,11,16,23,24,13
160,2002/08/06,4,23,24,30,31,27
161,2002/08/13,2,3,4,17,19,8
162,2002/08/20,6,14,17,23,31,20
163,2002/08/27,1,12,13,16,28,31
164,2002/09/03,7,9,16,26,30,28
165,2002/09/10,9,16,24,25,26,20
166,2002/09/17,8,13,21,24,28,16
167,2002/09/24,11,19,20,25,26,23
168,2002/10/01,2,8,11,16,30,17
169,2002/10/08,8,15,18,25,31,13
170,2002/10/15,2,7,14,20,22,5
171,2002/10/22,2,6,9,12,31,17
172,2002/10/29,1,4,14,21,28,3
173,2002/11/05,11,18,20,22,29,10
174,2002/11/12,1,3,8,21,22,2
175,2002/11/19,8,12,17,19,24,5
176,2002/11/26,12,14,24,26,30,18
177,2002/12/03,7,13,17,21,30,20
178,2002/12/10,3,24,26,28,31,20
179,2002/12/17,1,7,26,30,31,12
180,2002/12/24,17,18,19,21,28,22
181,2003/01/07,1,3,14,16,26,12
182,2003/01/14,2,10,14,23,24,6
183,2003/01/21,3,9,13,25,26,7
184,2003/01/28,2,10,23,30,31,16
185,2003/02/04,7,19,20,25,28,2
186,2003/02/11,8,12,20,21,25,22
187,2003/02/18,4,6,17,24,25,1
188,2003/02/25,7,16,24,25,28,30
189,2003/03/04,9,16,22,25,26,3
190,2003/03/11,4,5,21,27,29,2
191,2003/03/18,1,6,8,12,13,2
192,2003/03/25,6,7,10,11,17,3
193,2003/04/01,6,8,18,20,22,11
194,2003/04/08,3,6,15,17,23,1
195,2003/04/15,1,2,6,15,23,21
196,2003/04/22,2,4,14,21,22,16
197,2003/04/29,8,18,20,21,31,1
198,2003/05/06,13,20,21,25,28,14
199,2003/05/13,1,9,21,26,29,25
200,2003/05/20,1,4,12,13,18,25
201,2003/05/27,3,5,23,25,26,17
202,2003/06/03,6,10,11,18,31,25
203,2003/06/10,4,10,18,22,25,20
204,2003/06/17,7,18,22,24,29,9
205,2003/06/24,3,4,13,14,23,12
206,2003/07/01,6,8,12,27,31,24
207,2003/07/08,3,4,10,16,25,7
208,2003/07/15,6,10,13,16,17,29
209,2003/07/22,7,17,23,27,29,12
210,2003/07/29,9,10,18,19,29,21
211,2003/08/05,9,10,13,18,22,15
212,2003/08/12,1,5,10,14,30,26
213,2003/08/19,1,2,3,9,29,27
214,2003/08/26,2,8,16,18,28,12
215,2003/09/02,4,15,20,21,28,16
216,2003/09/09,3,7,13,16,17,2
217,2003/09/16,2,8,17,19,23,21
218,2003/09/23,9,16,24,25,29,23
219,2003/09/30,1,15,17,21,28,6
220,2003/10/07,9,10,11,21,29,5
221,2003/10/14,4,8,14,22,26,9
222,2003/10/21,10,18,21,26,28,9
223,2003/10/28,4,10,16,19,22,21
224,2003/11/04,12,16,27,30,31,14
225,2003/11/11,13,14,18,24,26,16
