draw_no,date,digit1,digit2,digit3
1,1994/10/07,1,9,1
2,1994/10/14,9,8,8
3,1994/10/21,1,9,4
4,1994/10/28,1,0,5
5,1994/11/04,5,9,2
6,1994/11/11,7,9,2
7,1994/11/18,7,0,8
8,1994/11/25,2,3,4
9,1994/12/02,2,4,3
10,1994/12/09,3,4,0
11,1994/12/16,3,2,6
12,1994/12/23,2,4,7
13,1994/12/30,2,2,9
14,1995/01/06,7,4,3
15,1995/01/10,0,1,9
16,1995/01/13,1,7,9
17,1995/01/17,4,7,5
18,1995/01/20,2,9,1
19,1995/01/24,8,5,2
20,1995/01/27,5,0,2
21,1995/01/31,5,5,8
22,1995/02/03,9,5,1
23,1995/02/07,9,1,2
24,1995/02/10,0,3,9
25,1995/02/14,4,5,8
26,1995/02/17,9,8,4
27,1995/02/21,9,1,7
28,1995/02/24,7,8,9
29,1995/02/28,5,8,9
30,1995/03/03,7,2,5
31,1995/03/07,0,7,3
32,1995/03/10,5,4,7
33,1995/03/14,0,6,3
34,1995/03/17,6,3,4
35,1995/03/21,3,3,3
36,1995/03/24,4,0,5
37,1995/03/28,1,6,8
38,1995/03/31,3,8,9
39,1995/04/04,5,8,7
40,1995/04/07,3,0,4
41,1995/04/11,0,4,8
42,1995/04/14,2,2,8
43,1995/04/18,9,2,2
44,1995/04/21,6,9,7
45,1995/04/25,9,7,0
46,1995/04/28,2,9,8
47,1995/05/02,9,8,9
48,1995/05/05,2,0,2
49,1995/05/09,4,7,6
50,1995/05/12,0,4,2
51,1995/05/16,8,0,2
52,1995/05/19,7,1,7
53,1995/05/23,8,8,9
54,1995/05/26,2,2,6
55,1995/05/30,7,2,8
56,1995/06/02,9,2,9
57,1995/06/06,8,3,6
58,1995/06/09,3,8,3
59,1995/06/13,4,1,0
60,1995/06/16,9,8,0
61,1995/06/20,5,4,2
62,1995/06/23,7,2,5
63,1995/06/27,2,5,1
64,1995/06/30,2,6,0
65,1995/07/04,5,8,8
66,1995/07/07,5,1,2
67,1995/07/11,5,1,2
68,1995/07/14,7,5,0
69,1995/07/18,9,0,2
70,1995/07/21,9,6,3
71,1995/07/25,6,6,1
72,1995/07/28,8,7,9
73,1995/08/01,4,5,2
74,1995/08/04,1,7,4
75,1995/08/08,2,8,3
76,1995/08/11,2,3,8
77,1995/08/15,9,7,2
78,1995/08/18,2,4,1
79,1995/08/22,3,1,0
80,1995/08/25,8,8,2
81,1995/08/29,2,6,9
82,1995/09/01,1,4,4
83,1995/09/05,1,7,4
84,1995/09/08,8,8,2
85,1995/09/12,3,0,7
86,1995/09/15,8,6,4
87,1995/09/19,3,7,0
88,1995/09/22,7,3,9
89,1995/09/26,6,9,7
90,1995/09/29,6,8,9
91,1995/10/03,1,6,8
92,1995/10/06,9,5,7
93,1995/10/10,9,1,0
94,1995/10/13,9,3,3
95,1995/10/17,3,0,6
96,1995/10/20,9,4,4
97,1995/10/24,9,8,8
98,1995/10/27,5,6,2
99,1995/10/31,5,7,1
100,1995/11/03,8,9,9
101,1995/11/07,9,4,5
102,1995/11/10,5,6,0
103,1995/11/14,8,2,4
104,1995/11/17,6,1,0
105,1995/11/21,6,1,9
106,1995/11/24,0,8,6
107,1995/11/28,0,8,2
108,1995/12/01,2,5,4
109,1995/12/05,1,9,1
110,1995/12/08,3,8,5
111,1995/12/12,0,5,6
112,1995/12/15,1,6,7
113,1995/12/19,7,4,4
114,1995/12/22,2,0,5
115,1995/12/26,7,7,0
116,1995/12/29,3,6,6
117,1996/01/05,9,5,2
118,1996/01/09,6,3,5
119,1996/01/12,9,5,2
120,1996/01/16,6,5,0
121,1996/01/19,4,3,9
